Título do Livro,Autor,Quantidade de Páginas,Tempo de Leitura,Nota Média,Leram,Lendo,Querem,Relendo,Abandonos,Resenhas,Favoritos,Avaliaram
Alchemised [Edição brasileira] -,SenLinYu,900 páginas,1d 6h 0m,4.5,9155,4786,46897,43,590,2373,1646,6826
Sorte No Amor -,Lynn Painter,256 páginas,8h 32m,3.9,10264,1197,41474,53,362,1887,450,6392
Querida tia -,Valérie Perrin,496 páginas,16h 32m,4.1,2917,720,18831,14,138,637,171,2006
MURDLE: A ESCOLA DE MISTÉRIOS - 50 enigmas de lógica extremamente sinistros,G. T. Karber,240 páginas,8h 0m,4.1,223,174,3733,12,30,9,16,42
Férias de matar -,Tessa Bailey,288 páginas,9h 36m,3.5,3171,408,14336,19,205,573,85,2146
Terra partida -,Clare Leslie Hall,320 páginas,10h 40m,4,6412,490,11617,10,168,1473,224,4638
Phantasma - A dark fantasy romance,Kaylie Smith,461 páginas,15h 22m,3.9,4821,631,15479,16,292,1083,262,3435
O sobrevivente quer morrer no final (Central da Morte #3) -,Adam Silvera,624 páginas,20h 48m,3.9,1823,421,11319,10,93,435,149,1090
O que eu comi em um ano - E outras reflexões,Stanley Tucci,336 páginas,11h 12m,2.8,99,22,799,4,9,5,0,24
NÃO QUERO FALAR SOBRE ISSO - COMO SUPERAR O LEGADO DA DEPRESSÃO MASCULINA,Terrence Real,336 páginas,11h 12m,4,256,151,4206,6,27,18,35,43
Casas estranhas (Casas Estranhas #1) -,Uketsu,176 páginas,5h 52m,3.5,19912,1022,24449,11,189,5535,253,15083
Cartografia para caminhos incertos -,Ian Fraser,192 páginas,6h 24m,4.3,530,99,5275,3,21,101,41,317
As regras do jogo -,Sarah Adams,352 páginas,11h 44m,4.2,7734,571,22081,12,156,1277,493,5077
"A república tecnológica - Tecnologia, política e o futuro do ocidente","Alexander C. Karp, Nicholas W. Zamiska",304 páginas,10h 8m,2.7,77,13,628,2,12,1,5,9
Uma vida e tanto -,Emily Henry,448 páginas,14h 56m,4.1,6309,587,15168,7,149,1439,155,4604
Uma livraria com aroma de canela (Dream Harbor #2) -,Laurie Gilmore,304 páginas,10h 8m,3.8,3219,320,13147,7,113,604,85,2229
Um reino tão adorável e cruel (Reino de Mentiras #1) -,Stacia Stark,384 páginas,12h 48m,4.1,645,112,6279,8,26,85,37,297
Trilhando o caminho do artista - Como despertar a intuição e a criatividade através da escrita,Julia Cameron,192 páginas,6h 24m,3.1,96,41,1185,4,18,4,5,13
Spidey e seus amigos espetaculares: Os Super-Heróis Reúnem Forças (Vol 2) - Meu primeiro quadrinho!,"Dario Calabria, Lucio De Giuseppe, Cristina Giorgilli, Cristina Stella, Arancia Studio",32 páginas,1h 4m,4.1,62,32,313,2,8,4,17,7
Breaking the Dark: Rompendo a escuridão - Uma história de Jessica Jones,Lisa Jewell,368 páginas,12h 16m,3.9,74,5,356,1,3,5,0,13
Rei da Preguiça (Reis do Pecado #4) -,Ana Huang,432 páginas,14h 24m,4,3322,266,8175,10,77,403,117,1778
Quase morri de amor (Academia) - Quando a vida perde sentido sem outro alguém,Maycow Montemor,224 páginas,7h 28m,4,263,113,4091,4,12,26,22,59
Protocolos - Um manual operacional do corpo humano,Andrew Huberman,320 páginas,10h 40m,3,61,12,781,2,6,0,3,2
Pare de brigar com a vida (Academia) - Estratégias inusitadas para se levar menos a sério,Frederico Mattos,192 páginas,6h 24m,3.8,112,74,2347,2,7,6,18,20
Ozymandias -,José Roberto de Castro Neves,256 páginas,8h 32m,4.2,236,20,1667,0,8,41,11,134
Os opostos se atraem (Lovelight #4) -,B.K. Borison,378 páginas,12h 36m,4,820,125,5727,11,31,121,34,435
Os mistérios de Baskerville Hall (Os mistérios de Baskerville Hall #1) -,Ali Standish,288 páginas,9h 36m,3.5,161,17,1134,5,10,7,10,30
Os Fundadores da Filosofia Ocidental - de Tales a Humes,"Leonard Peikoff, org. Michael S. Berliner",608 páginas,20h 16m,4.2,106,26,1041,2,4,4,7,10
O rei Lobo (Os reis de Avalier #4) -,Leia Stone,224 páginas,7h 28m,3.8,631,76,3388,8,22,84,26,280
O Pequeno Príncipe - Edição  De Luxo Bilíngue,Antoine de Saint-Exupéry,144 páginas,4h 48m,4.4,7021,159,2749,80,119,189,171,1494
O outro lado do ponto da virada - As forças que impulsionam epidemias sociais negativas,Malcolm Gladwell,288 páginas,9h 36m,3.9,74,20,871,0,5,2,2,9
O mal menor (Star Wars: Thrawn Ascendancy #3) -,Timothy Zahn,544 páginas,18h 8m,4.3,115,11,601,1,8,5,3,24
O livro de colorir do Stitch -,Disney Book Group,96 páginas,3h 12m,4.6,54,60,631,6,24,3,20,11
O jeito Lobo de investir (Planeta Estratégia) - O guia secreto do Lobo de Wall street para fazer fortuna com investimentos,Jordan Belfort,304 páginas,10h 8m,3.3,40,24,650,2,1,2,1,3
Santo Guerreiro: O Império do Leste (Santo Guerreiro #3) -,Eduardo Spohr,728 páginas,1d 0h 16m,4.6,321,57,757,0,2,58,17,213
O hospital -,Leslie Wolfe,256 páginas,8h 32m,3.3,1111,131,4707,1,51,290,14,730
O dique (Blackwater #2) -,Michael McDowell,272 páginas,9h 4m,3.9,795,30,1077,0,6,163,14,610
O despertar das monções (A Guerra dos Furacões #2) -,Thea Guanzon,336 páginas,11h 12m,4.3,1123,96,4631,6,16,217,90,786
O adorável livro de colorir do Príncipe -,Maxx Figueiredo,48 páginas,1h 36m,3,17,10,77,0,4,0,0,1
Ninguém pode parar uma mulher ventania (Planeta) -,Ryane Leão,192 páginas,6h 24m,4.4,166,19,800,1,0,39,18,104
Mundo das fofuras - Livro de colorir Fluffy Times -,Didi Plums,84 páginas,2h 48m,4.3,62,62,468,10,23,6,7,7
Muito além do nosso eu (NOVA EDIÇÃO) - A nova neurociência que une cérebro e máquinas e como ela pode mudar nossas vidas,Miguel Nicolelis,496 páginas,16h 32m,3.6,26,0,381,2,3,0,1,4
Momentos fofos - Livro de colorir Fluffy Times -,Didi Plums,84 páginas,2h 48m,4.5,45,46,400,3,15,3,5,4
"M, os últimos dias da europa -",Antonio Scurati,384 páginas,12h 48m,4.6,52,11,603,1,1,1,2,19
Made in Macaíba (NOVA EDIÇÃO) (Crítica) - A história da criação de uma utopia científico-social no ex-império dos Tapuias,Miguel Nicolelis,304 páginas,10h 8m,4,17,0,196,0,1,1,0,3
Lewis Hamilton: a biografia -,Frank Worrall,424 páginas,14h 8m,3.7,144,60,1112,0,5,16,8,55
Lance livre -,Jamie Harrow,320 páginas,10h 40m,3.6,958,100,4730,3,69,149,14,621
"John, Yoko e eu - Um retrato íntimo e revelador do casal mais célebre do planeta",Elliot Mintz,224 páginas,7h 28m,4.2,94,11,673,2,3,8,3,56
Inimigo imortal (Immortal Dark Trilogy #1) -,Tigest Girma,496 páginas,16h 32m,3.9,990,229,4244,3,103,259,31,742
Homem-Aranha: guerreiro das sombras – Mangá -,Shogo Aoki,192 páginas,6h 24m,4.2,114,28,563,3,4,1,13,13
Garota invisível -,Lisa Jewell,384 páginas,12h 48m,3.4,676,40,2754,1,20,133,9,453
Fofuras para relaxar - Livro de colorir Fluffy Times -,Didi Plums,84 páginas,2h 48m,4.5,30,30,261,4,13,0,1,1
Eu te amo -,Saeko Inui,36 páginas,1h 12m,4.3,87,11,715,2,2,5,5,33
"ESTADO, ECONOMIA, DESAFIOS FISCAIS E REFORMAS ESTRUTURAIS NO BRASIL - Textos em homenagem a Eduardo Guardia","Pedro Malan, Ana Paula Vescovi, Ana Carla Abrão",528 páginas,17h 36m,0,7,6,93,0,1,0,0,0
Entre fogo e espinhos (Feras & Príncipes #2) -,Elizabeth Helen,496 páginas,16h 32m,3.7,615,61,2259,5,25,94,17,351
Encantada (Bewitched #1) -,Laura Thalassa,400 páginas,13h 20m,3.7,372,36,3294,6,25,52,11,181
Edda Mussolini (Crítica) - A mulher mais perigosa da Europa,Caroline Moorehead,432 páginas,14h 24m,3.8,56,10,1010,1,6,5,1,13
Dylan Elétrico - do Folk ao Rock,Elijah Wald,320 páginas,10h 40m,3.5,31,11,212,0,1,4,0,12
Dungeons & Dragons: Personagens & Missões - O Livro de Exercicíos Para Jovens Aventureiros,"Wizards of the Coast, Sarra Scherb",112 páginas,3h 44m,2,15,3,54,0,2,0,0,1
Doces ou fofuras? - Livro de colorir Fluffy Times -,Didi Plums,84 páginas,2h 48m,4.3,36,44,381,2,14,0,3,5
"Discuta menos, dialogue mais - Como transformar suas próximas conversas",Jefferson Fisher,192 páginas,6h 24m,4.3,66,55,2257,3,7,7,11,17
Despertar da Chama Eterna (Chama Eterna #1) -,Penn Cole,384 páginas,12h 48m,4,1868,167,5555,3,44,343,83,1401
"Culturas de crescimento - Como a ciência do mindset pode transformar indivíduos, equipes e organizações",Mary Murphy,336 páginas,11h 12m,0,16,11,449,0,3,1,6,0
"Café, amor e especiarias (Dream Harbor #1) -",Laurie Gilmore,256 páginas,8h 32m,3.5,5392,440,10037,5,179,1258,101,4079
Branca de Neve: Belo e sombrio coração -,Lauren Blackwood,208 páginas,6h 56m,3.5,127,39,1646,4,12,18,10,45
"Bina, uma corujinha especial -",Marcia Batista,36 páginas,1h 12m,4.1,31,29,527,2,5,4,14,14
Bhagavad-Gita: o cântico celestial -,Krishna Dvaipayana Veda Vyasa,112 páginas,3h 44m,4.1,57,14,269,0,3,2,0,8
As bactérias que nos curam (Academia) - Plano de 14 dias para equilibrar o microbioma e reforçar o sistema imunológico,Alexandra Vasconcelos,336 páginas,11h 12m,1.5,16,11,550,0,6,0,1,1
Alice no País das Maravilhas - Edição de Luxo bilíngue,Lewis Carroll,256 páginas,8h 32m,4.1,1759,140,2388,18,42,50,45,309
A menina e a pipa -,Laetitia Colombani,192 páginas,6h 24m,4.2,295,17,696,2,4,64,11,189
A linguagem dos dragões (A linguagem dos dragões #1) -,S.F. Williamson,420 páginas,14h 0m,3.7,567,125,2979,5,36,142,9,430
A Jovem Bailarina De Auschwitz -,Edith Eva Eger,192 páginas,6h 24m,4.5,7552,704,11596,17,180,960,27,5142
A educação dos sentidos (Nova edição) (Paidós) -,Rubem Alves,144 páginas,4h 48m,3.7,52,22,1081,2,6,3,3,10
A culpa é da mãe? (Academia) - Reflexões e confissões sobre a maternidade,Elizabeth Monteiro,288 páginas,9h 36m,4,26,20,677,2,3,0,5,3
A bruxa do mar (A bruxa da floresta #3) -,Skye McKenna,256 páginas,8h 32m,4.2,42,17,451,3,8,7,2,14
A arte da insubordinação (Planeta Estratégia) - Como discordar e desafiar de maneira eficiente,Todd Kashdan,240 páginas,8h 0m,2,15,4,516,1,1,1,0,1
A Arte da Guerra - Edição de Luxo,Sun Tzu,224 páginas,7h 28m,3.7,1076,101,1754,11,65,19,8,157
Uma história de nós dois (Skyland #2) -,Kennedy Ryan,320 páginas,10h 40m,4.2,94,7,479,1,2,33,14,81
Sete Anos Entre Nós -,Ashley Poston,300 páginas,10h 0m,4.3,12077,1033,18735,6,265,3066,1246,9529
Se eu pudesse viver minha vida novamente (Coleção Biblioteca Rubem Alves) -,Rubem Alves,176 páginas,5h 52m,4.1,166,36,2014,1,6,24,4,75
Ripley subterrâneo (Ripley #2) -,Patricia Highsmith,336 páginas,11h 12m,3.6,625,50,1911,0,16,103,1,462
Receitas de uma nonna - Descubra os segredos da culinária italiana com a nonna mais amada do mundo,Silvana Bini,192 páginas,6h 24m,0,5,1,105,0,0,0,1,0
quero me pedir desculpas por todas as vezes que me culpei - quando não era minha culpa,Iandê Albuquerque,160 páginas,5h 20m,4,451,124,2307,3,20,93,29,248
Pássaro sombrio (Five Nights at Freddy’s: Pavores de Fazbear #6) -,Scott Cawthon,256 páginas,8h 32m,4,132,15,648,1,3,16,6,49
OS CÃES QUE ME SALVARAM - A HISTÓRIA DO HOMEM QUE FEZ DO RESGATE DE ANIMAIS O PROPÓSITO DE SUA VIDA,Niall Harbison,224 páginas,7h 28m,4.5,36,12,376,0,1,4,5,15
Olivia Rodrigo - Exclusivo para fãs,Future Publishing,96 páginas,3h 12m,4.2,225,38,1102,4,12,21,21,76
O jogo de Ripley (Ripley #3) -,Patricia Highsmith,336 páginas,11h 12m,3.7,248,8,576,0,6,21,2,150
O Grande Livro de Biologia do Manual do Mundo (Manual do Mundo) -,"Matthew Brown, Workman",512 páginas,17h 4m,4.6,49,41,566,1,2,5,3,15
O Enigma de Akakor - Farsas e Segredos na floresta amazônica,Rapha Erichsen,160 páginas,5h 20m,5,6,1,106,0,0,1,0,1
"O CICLO DE VIDA CORPORATIVO - NOS NEGÓCIOS, NOS INVESTIMENTOS E NA GESTÃO",Aswath Damodaran,624 páginas,20h 48m,0,13,7,174,0,0,0,0,0
No fundo é amor -,Ali Hazelwood,464 páginas,15h 28m,4.1,22543,2015,27079,45,681,4319,1147,14879
Namorando com um vampiro - eBook Kindle,Jenna Levine,373 páginas,12h 26m,3.7,3025,266,10736,5,123,621,91,1983
Graça (As irmãs Shackleford #1) -,Beverley Watts,192 páginas,6h 24m,3.2,118,5,382,0,4,23,0,89
Entre a vida e o depois - Encontros inesquecíveis nos últimos momentos da vida,Hadley Vlahos,256 páginas,8h 32m,4.5,37,5,429,1,1,5,2,21
Energia sem limites - Desvendando a conexão entre metabolismo e vida saudável,Calley Means,384 páginas,12h 48m,3.9,63,46,690,2,9,9,5,37
"Educar é um ato de amor, mas também é ciência (Academia) - O que a neurociência revela sobre como a infância impacta a vida adulta",Telma Abrahão,256 páginas,8h 32m,4.3,29,23,857,2,2,1,6,9
"Comunicação antirracista - Um guia para se comunicar com todas as pessoas, em todos os lugares",Midiã Noelle,192 páginas,6h 24m,4.1,41,9,545,0,1,0,1,12
Como desenhar coisas superfofas com Bobbie Goods - Aprenda a fazer desenhos encantadores e divirta-se colorindo,Bobbie Goods,112 páginas,3h 44m,3.7,52,27,298,5,15,6,6,9
Casa de sal e lágrimas (Irmãs do Sal #1) -,Erin A. Craig,396 páginas,13h 12m,3.9,169,28,2101,0,10,25,7,72
